NomeAnonimo,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,31,Presença,Falta
Nome65,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome66,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome67,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome68,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome69,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome70,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome71,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome72,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome73,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome74,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome75,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome76,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome77,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome78,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome79,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome80,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome81,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome82,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome83,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome84,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome85,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome86,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome87,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome88,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome89,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome90,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome91,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome92,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome93,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome94,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome95,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome96,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome97,,,,,,,,,,,,,,,,,,,,0.0,19.0
Nome98,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,19.0,0.0
Nome99,F,P,P,F,P,P,P,F,P,P,P,P,P,p,p,p,F,F,F,13.0,6.0
Nome100,F,F,F,F,F,F,F,F,P,F,P,F,P,F,P,F,P,F,F,5.0,14.0
Nome101,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome102,F,p,F,p,F,F,P,F,F,F,F,F,F,F,F,F,F,F,p,4.0,15.0
